gp_code,list_jul26
C84076,4069
C84077,18907
C84078,12888
C84080,13585
C84081,6888
C84084,8631
C84085,10558
C84086,15087
C84087,5552
C84090,9240
C84091,8751
C84092,5239
C84094,24659
C84095,7003
C84101,1
C84105,7409
C84106,8081
C84107,6771
C84112,3841
C84113,7544
C84115,10150
C84116,8307
C84117,18430
C84120,15714
C84122,10791
C84123,4391
C84129,9675
C84131,8783
C84136,4833
C84140,4939
C84142,5218
C84144,5084
C84150,4852
C84151,3572
C84605,17844
C84613,12227
C84619,6831
C84621,5287
C84624,5719
C84628,8013
C84629,4325
C84637,9739
C84646,6353
C84654,4648
C84656,8642
C84658,10418
C84660,4516
C84664,4911
C84667,6004
C84676,8361
C84679,4469
C84682,5080
C84683,11329
C84691,8830
C84692,2716
C84693,5165
C84694,4768
C84695,4534
C84696,4809
C84703,6958
C84704,8219
C84705,8171
C84714,5585
C84720,28
C85001,4457
C85003,13299
C85004,16297
C85005,7251
C85006,5693
C85007,10433
C85008,12790
C85009,7474
C85010,16598
C85013,11147
C85014,9785
C85016,10732
C85017,11673
C85018,7396
C85019,11511
C85020,12068
C85022,13227
C85023,11470
C85024,6254
C85028,3621
C85030,10058
C85033,10911
C85614,4677
C85619,8643
C85622,2327
C85623,5800
C86001,16654
C86002,8250
C86003,9751
C86005,4676
C86006,10402
C86007,19992
C86009,7426
C86011,13999
C86012,9170
C86013,8666
C86015,8342
C86016,9106
C86017,15930
C86018,9852
C86019,16637
C86020,8600
C86021,6227
C86023,13773
C86024,12034
C86025,6449
C86026,4957
C86029,13708
C86032,5417
C86033,5116
C86034,10013
C86037,9283
C86038,9523
C86605,7883
C86609,19834
C86611,6989
C86614,9708
C86616,3703
C86621,4472
C86625,1726
C86626,2824
C87002,21117
C87003,11214
C87004,12058
C87005,18935
C87006,15107
C87007,11662
C87008,16088
C87009,10752
C87010,4689
C87012,15744
C87013,6563
C87014,9682
C87015,6789
C87016,12265
C87017,12716
C87018,7708
C87020,5093
C87022,8613
C87024,4365
C87029,12571
C87030,9432
C87031,3921
C87603,4114
C87604,5990
C87608,5675
C87616,6425
C87620,7180
C87622,10207
C88005,15765
C88006,6061
C88007,25859
C88008,13938
C88009,6185
C88010,14212
C88011,4755
C88014,9752
C88015,18845
C88016,13509
C88018,8748
C88019,8578
C88020,7696
C88021,7443
C88022,5292
C88023,9507
C88025,9366
C88026,13917
C88027,5104
C88028,10025
C88030,8146
C88031,13840
C88032,5550
C88034,9095
C88035,10552
C88036,10618
C88037,14187
C88038,5870
C88039,8957
C88040,6159
C88041,12860
C88043,10899
C88044,5406
C88045,8726
C88046,6995
C88047,7688
C88048,8623
C88049,5984
C88050,3470
C88051,7737
C88052,11113
C88053,3936
C88054,7770
C88059,2441
C88060,4898
C88062,4565
C88069,15666
C88070,7970
C88072,11914
C88073,5208
C88074,5148
C88076,9347
C88077,7806
C88078,7126
C88079,8241
C88082,6388
C88083,2340
C88084,3086
C88085,9719
C88086,2594
C88087,9551
C88088,7657
C88090,7951
C88091,2263
C88092,9573
C88095,5526
C88622,2417
C88627,31173
C88631,1355
C88647,10546
C88648,7205
C88652,4261
C88655,1131
D81001,13973
D81002,23330
D81003,10600
D81004,14766
D81005,14339
D81008,18532
D81010,11013
D81011,9118
D81012,11238
D81013,20622
D81014,23819
D81015,6975
D81016,12256
D81017,9019
D81018,8266
D81021,12960
D81022,17415
D81025,9121
D81026,47890
D81027,8081
D81028,13116
D81029,13224
D81030,15092
D81031,20859
D81033,5025
D81034,18885
D81035,10068
D81036,5092
D81037,10914
D81038,7308
D81041,6930
D81042,9680
D81043,58582
D81044,13935
D81045,10475
D81046,19451
D81047,8072
D81049,11786
D81050,17042
D81051,9751
D81052,9550
