gp_code,partner_fte,salaried_fte,locum_fte,registrar_fte,foundation_other_fte,nurse_fte,dpc_fte,admin_fte
E82024,5.493333333,1.773333333,0.0,4.906666666,0.0,4.306666667,2.653333333,24.04
E82027,6.080000001,1.28,0.0,3.6266666670000003,0.0,2.0,0.533333333,14.00106667
E82031,4.2,4.725333334,0.0,2.773333333,0.0,3.053333333,2.52,13.16
E82032,8.88,2.24,0.0,2.133333334,0.0,2.76,1.333333333,16.37333333
E82035,3.4666666669999997,1.0133333329999998,0.0,0.0,0.0,0.946666667,2.266666667,11.26666667
E82037,8.433333333,0.64,0.0,1.066666667,0.0,1.066666667,1.426666667,19.85866667
E82038,4.7466666669999995,5.28,0.522146095,0.0,0.0,4.431936263,2.0,15.94666667
E82040,4.266666667,4.8,0.0,0.0,0.0,3.506666667,3.786666667,17.57333333
E82041,4.4,0.0,0.0,1.92,0.0,1.92,1.0,12.52
E82042,3.0,1.222133333,0.0,0.0,0.0,1.853333333,0.0,9.6
E82043,5.413333333,0.653333333,1.08,3.733333334,0.0,3.88,3.133333333,18.17834901
E82044,6.586666667,0.68,0.0,2.986666667,0.0,2.306666667,1.8,13.4
E82045,5.64,1.706666667,0.0,0.0,0.0,1.653333333,2.106666667,18.40666667
E82046,3.218666667,0.0,0.0,0.0,0.0,0.8,2.133333333,10.73333333
E82050,1.066666667,0.56,0.0,0.0,0.0,1.28,0.88,7.746666667
E82051,7.866666667,1.32,0.0,1.066666667,0.0,2.0,1.066666667,18.28
E82053,5.466666667,2.773333333,0.0,4.693333333,0.0,4.613333333,1.56,28.07866667
