gp_code,allf2f_early,allf2f_late,d_allf2f,gpf2f_early,gpf2f_late,d_gpf2f,othf2f_early,othf2f_late,d_othf2f,gpf2f_ofgp_early,gpf2f_ofgp_late,d_gpf2f_ofgp
C82670,84.5,70.01,-14.48,36.55,28.59,-7.96,47.95,41.42,-6.52,77.22,68.61,-8.61
C82671,87.43,64.49,-22.94,42.41,24.68,-17.73,45.02,39.81,-5.21,81.12,53.71,-27.41
C82676,91.12,56.59,-34.53,46.87,30.04,-16.83,44.26,26.55,-17.7,96.39,95.6,-0.79
C82678,80.85,79.7,-1.15,20.96,35.11,14.14,59.89,44.6,-15.29,69.49,91.41,21.92
C82680,43.04,55.11,12.06,23.84,15.65,-8.18,19.21,39.45,20.25,37.54,49.5,11.95
C83001,78.18,49.49,-28.69,26.65,14.58,-12.07,51.53,34.91,-16.62,80.63,51.52,-29.11
C83002,48.53,54.54,6.01,6.75,10.85,4.1,41.78,43.69,1.91,14.87,46.73,31.86
C83003,57.88,70.77,12.89,13.95,17.85,3.89,43.93,52.93,9.0,52.17,84.46,32.28
C83004,73.9,87.21,13.31,22.22,20.65,-1.57,51.68,66.56,14.88,71.54,99.38,27.84
C83005,43.74,58.56,14.82,5.2,17.59,12.38,38.53,40.97,2.44,11.36,42.07,30.7
C83007,28.83,22.59,-6.23,11.21,6.44,-4.77,17.62,16.16,-1.46,40.55,14.84,-25.71
C83008,80.14,81.92,1.79,22.64,23.26,0.62,57.5,58.67,1.17,82.13,88.31,6.18
C83009,61.63,50.32,-11.31,24.6,24.24,-0.36,37.03,26.08,-10.95,49.13,59.15,10.02
C83010,74.73,73.07,-1.66,17.43,18.59,1.16,57.31,54.48,-2.82,66.28,74.56,8.28
C83011,82.46,81.96,-0.5,20.25,19.89,-0.36,62.21,62.07,-0.14,77.35,79.71,2.36
C83013,60.14,77.62,17.48,7.15,8.64,1.49,53.0,68.99,15.99,41.06,65.81,24.75
C83014,89.15,84.11,-5.03,33.25,33.39,0.14,55.9,50.72,-5.18,97.35,88.88,-8.47
C83015,92.52,87.31,-5.2,31.75,21.25,-10.5,60.76,66.06,5.3,92.38,88.58,-3.8
C83018,80.33,81.35,1.02,22.91,21.46,-1.45,57.43,59.89,2.46,75.68,81.87,6.2
C83019,62.58,75.39,12.81,26.47,32.13,5.67,36.11,43.26,7.15,56.33,74.85,18.52
C83020,86.28,79.29,-6.99,23.73,28.39,4.65,62.54,50.9,-11.64,76.88,82.67,5.79
