gp_code,sat_24,cont_24,n_24,sat_25,cont_25,n_25,sd_24,oc_24,sd_25,oc_25,rural,imd_score,log_list,gp_per10k,nurse_per10k,dpc_per10k,merged_recent,dispensing_f,region,d_sat,d_cont,d_sd,d_oc,w
A89007,88.732743295308,61.2843284345719,103.0,80.8291956,33.976008400000005,125.0,41.33445390433734,8.874108397427088,40.16558084292526,25.275350291016093,0.0,35.08,9.22977528461479,10.051800089248497,5.518368681623146,3.4260961961505454,0.0,0.0,NORTH EAST AND YORKSHIRE,-7.903547695307992,-27.308320034571892,-1.1688730614120786,16.401241893589003,103.0
A89008,79.7180083356679,29.791810710403798,119.0,70.6121715,41.5651726,128.0,48.19986727131955,11.185640708898303,47.773312333677296,19.90560893976845,0.0,45.19,8.615015365035763,8.329111629537831,3.4821509536620017,3.288698124112082,0.0,0.0,NORTH EAST AND YORKSHIRE,-9.105836835667901,11.773361889596199,-0.4265549376422513,8.719968230870146,119.0
A89009,91.1390227639269,59.74533152548231,119.0,83.9895007,39.217311,111.0,32.01418150093739,7.473396632633033,35.66068102497333,12.873494632271536,0.0,24.47,9.159222500797572,10.78828275670935,4.322048762673215,5.276267322224172,0.0,0.0,NORTH EAST AND YORKSHIRE,-7.149522063926909,-20.528020525482304,3.6464995240359386,5.400097999638502,111.0
A89010,78.2459483154645,36.6764577564053,101.0,79.4886819,27.979298600000003,94.0,34.52084673247393,42.15342399457284,32.68251603290795,65.67756338997489,0.0,29.46,9.421863331661312,10.079114031308382,10.942421442397835,7.165451517060438,0.0,0.0,NORTH EAST AND YORKSHIRE,1.2427335845355003,-8.697159156405295,-1.8383306995659794,23.524139395402052,94.0
A89011,80.1201439606405,38.8928152489313,129.0,85.8417033,51.5813265,101.0,31.408159752108798,47.766725357569335,27.123241934810736,86.5700696658758,0.0,26.88,8.469035327302986,18.06313506637052,6.995575300022736,5.036814215009008,0.0,0.0,NORTH EAST AND YORKSHIRE,5.7215593393595015,12.688511251068704,-4.284917817298062,38.80334430830647,101.0
A89012,83.27423688701509,42.9022456583383,119.0,77.4729743,34.326053099999996,134.0,32.68065103292275,30.897122145438885,32.0635378136459,41.18457949354556,0.0,29.28,9.340483740055085,12.239129638935022,3.699178366537653,0.9833258949802092,0.0,0.0,NORTH EAST AND YORKSHIRE,-5.8012625870150885,-8.576192558338306,-0.6171132192768525,10.287457348106678,119.0
A89013,86.6162500317853,47.1222075943369,115.0,91.0078555,48.0344563,100.0,26.96575639358474,8.710794816366517,25.143143728841896,9.282785901457451,0.0,44.16,8.630521876723241,5.761904760714286,5.761904760714286,2.571428571428572,0.0,0.0,NORTH EAST AND YORKSHIRE,4.391605468214706,0.912248705663103,-1.8226126647428451,0.571991085090934,100.0
A89015,85.5285166744551,39.3396069532184,133.0,94.32377240000001,57.644959500000006,111.0,42.02627023724671,10.901638094375635,50.39681850546168,14.51603921493578,0.0,13.82,9.13034974627969,10.799259761137442,7.828481155856466,9.850598059851048,0.0,0.0,NORTH EAST AND YORKSHIRE,8.795255725544905,18.305352546781606,8.370548268214968,3.614401120560146,111.0
A89016,92.6666919133316,79.0637810365473,117.0,91.1193025,51.763651200000005,120.0,45.354099563746075,12.971101663686369,48.4605192904744,24.78671833262186,0.0,29.42,9.137671107975128,22.4754699907697,6.079452276478864,1.2904497755155078,0.0,0.0,NORTH EAST AND YORKSHIRE,-1.5473894133316008,-27.300129836547292,3.1064197267283262,11.81561666893549,117.0
A89017,87.6313525873271,40.028196880874404,109.0,83.51425019999999,33.5848906,115.0,41.037592461242276,17.58908436580715,27.247118665894018,213.25702123199608,0.0,38.12,9.591586782956078,9.328271474219235,4.298406880638386,3.333086690989396,0.0,0.0,NORTH EAST AND YORKSHIRE,-4.117102387327108,-6.443306280874403,-13.790473795348259,195.66793686618894,109.0
A89018,80.9094768815024,50.234321011354496,116.0,86.6882528,39.2082869,114.0,45.34330949526684,0.0,45.52382480346542,7.115629457722331,0.0,41.37,8.5825282702175,7.944669093066464,7.494028196281089,2.498009400009368,0.0,0.0,NORTH EAST AND YORKSHIRE,5.778775918497601,-11.026034111354498,0.1805153081985864,7.115629457722331,114.0
A89019,72.8283304536356,23.2932563735706,101.0,70.18844250000001,6.559376,101.0,54.69288579985308,31.913921687729488,54.79963997808562,40.23476317057066,0.0,48.09,9.616788330262168,19.96223713348541,8.986718616027574,6.2871509688806,0.0,0.0,NORTH EAST AND YORKSHIRE,-2.6398879536355935,-16.7338803735706,0.10675417823254207,8.320841482841171,101.0
A89020,82.99678042343311,41.9395271560786,106.0,82.83853719999999,36.091445300000004,102.0,56.67140497137808,0.0,62.38432226456179,75.70719170584205,0.0,37.2,9.073651619179426,13.22997258099342,9.874939094478783,4.524739893569253,0.0,0.0,NORTH EAST AND YORKSHIRE,-0.15824322343311792,-5.848081856078593,5.712917293183708,75.70719170584205,102.0
A89021,83.1979135016491,34.7651224932855,127.0,90.9819588,37.5331121,128.0,51.788079470198674,6.590138883587617,54.93223133417553,10.52432295795445,0.0,27.98,9.050103151125755,12.154196787338726,8.868212807997418,6.103704283352734,0.0,0.0,NORTH EAST AND YORKSHIRE,7.784045298350904,2.767989606714494,3.144151863976859,3.934184074366833,127.0
A89022,79.4433658252124,22.5382150233199,111.0,79.4201266,15.6261752,118.0,29.318952703990245,20.326317938250483,35.226182203249614,37.71980105905768,0.0,29.25,8.557823167502132,23.044424531430035,20.79119190756625,9.064140314940468,0.0,0.0,NORTH EAST AND YORKSHIRE,-0.023239225212392967,-6.912039823319899,5.907229499259369,17.393483120807197,111.0
