gp_code,sat_24,cont_24,sat_25,cont_25,sat_26,cont_26,d_sat_25_26,d_cont_25_26,n_25,n_26,deflection_2026,access_satisfaction_2026,pt_same_day_2026,imd_score,rural,region
G82006,60.259485462661,19.018762254386502,73.92466,46.8491202,79.4668504747179,37.2471165149768,5.5421904747178985,-9.602003685023199,100.0,88.0,5.97868910514498,75.1796957843382,41.2741921244488,19.46,0.0,SOUTH EAST
G82007,59.108755026455896,12.3144279171906,53.9219237,57.3020861,55.033207110610604,6.46071375741599,1.1112834106106035,-50.84137234258401,124.0,119.0,23.2438971869245,48.1766707623759,67.3158121533601,27.27,1.0,SOUTH EAST
G82013,77.0017516404392,59.5434127977005,75.9237769,52.0395791,86.44815810603859,74.0176727334472,10.524381206038598,21.9780936334472,113.0,103.0,3.3077919524078903,88.6653036278709,53.9097671030742,7.79,0.0,SOUTH EAST
G82014,50.8424715671288,40.5729003986666,57.6220988,31.7245748,46.1432214281175,19.6927839248561,-11.478877371882504,-12.031790875143898,98.0,124.0,6.0676277387203,43.3964354641594,38.0400587709047,24.21,0.0,SOUTH EAST
G82015,62.286162284144794,51.877002090294,46.4998247,43.5116782,59.108916763436504,35.570206350414004,12.609092063436506,-7.941471849585994,96.0,111.0,5.90718060510917,57.6975855776396,40.868438407398,36.3,0.0,SOUTH EAST
G82016,79.5334413178963,57.02966254825979,80.2221809,42.7825753,84.1435423739496,70.3923633515656,3.9213614739496023,27.60978805156561,97.0,106.0,4.58022158018875,81.1063646070268,59.0892692089678,9.42,0.0,SOUTH EAST
G82020,64.58514679975231,20.8292245586088,55.0747577,43.7454255,54.5006246238652,35.3323543882645,-0.5741330761347996,-8.413071111735505,105.0,117.0,9.75927450523813,44.9242839412601,55.9420265811497,33.66,0.0,SOUTH EAST
G82023,72.6166142834774,35.3662950230967,47.7128763,19.2005339,58.2757802547078,4.64946608172007,10.5629039547078,-14.551067818279929,121.0,97.0,11.3890103216331,52.4631013517155,55.6131986147132,41.46,0.0,SOUTH EAST
G82025,86.0870068626409,62.3763594562233,78.3037315,72.2920392,86.6317170970091,73.1906425267279,8.327985597009103,0.8986033267278941,102.0,116.0,1.89416897273969,84.2358809612759,44.8250598805096,12.63,0.0,SOUTH EAST
C81023,83.12279200440909,53.040507891201905,86.09859039999999,57.7112593,81.6766520352233,64.6607707732045,-4.421938364776693,6.9495114732045025,106.0,123.0,3.6644175539971298,75.0414515464341,47.7998266188346,18.65,0.0,MIDLANDS
C81025,94.3261805682377,34.7190178730118,90.8127516,38.8937237,83.9649345725909,49.0775651572552,-6.847817027409093,10.183841457255198,105.0,112.0,9.240129322375799,81.4966048163653,52.6943678987578,9.83,0.0,MIDLANDS
C81026,61.226814391401895,31.7100155841328,76.5740156,48.8302318,68.5598502138031,12.483159118629999,-8.014165386196893,-36.34707268137,113.0,105.0,3.05806614777054,75.345901554353,45.6958756934971,17.83,0.0,MIDLANDS
C81027,86.79034672642871,53.281396405888806,84.6122415,35.5400609,94.11994050914289,57.545529826485996,9.507699009142897,22.005468926485996,104.0,115.0,4.99903065198816,81.3657403591144,65.13662987718291,26.9,0.0,MIDLANDS
C81029,78.3903254445127,23.376531518283798,73.5431376,25.047392,75.7101465961173,22.0897495642909,2.1670089961173034,-2.957642435709097,100.0,121.0,6.403242470890801,66.29640635406861,57.7081907900172,23.64,1.0,MIDLANDS
C81030,91.0468473530162,45.0603442107764,89.37089660000001,35.8501207,93.7358084815881,27.6694271010581,4.364911881588085,-8.180693598941897,117.0,122.0,3.72862296581888,88.5326337273557,41.5766110034213,13.85,1.0,MIDLANDS
C81031,69.344991647414,50.3039716907437,83.4541157,46.2035599,86.5713321302118,54.8768185601996,3.1172164302117977,8.6732586601996,95.0,97.0,15.270509128509799,71.7353404643841,51.147046800545006,22.76,0.0,MIDLANDS
C81032,72.5592615403404,23.0346317932474,83.3299169,35.4848857,68.2924237387441,22.942925811329403,-15.037493161255895,-12.541959888670597,112.0,105.0,7.29362039859304,65.9177571333796,53.511161721433,20.64,0.0,MIDLANDS
C81034,83.1075843790436,45.112953666775304,90.0059088,44.9837068,92.14640681262149,22.8320458466827,2.1404980126214923,-22.1516609533173,126.0,106.0,1.0470774482479,87.6279083523198,44.791913282654,22.1,0.0,MIDLANDS
C81035,78.4353025470698,37.2415166391256,72.8174922,21.0001379,69.7479039282712,29.615703651952103,-3.0695882717288043,8.615565751952104,106.0,119.0,10.0728687202386,66.5872571241149,52.9616837850312,30.19,0.0,MIDLANDS
C81036,66.97107506520979,25.443564462725398,65.19677390000001,39.217599,59.1938686479856,28.307533950762597,-6.002905252014408,-10.910065049237403,177.0,151.0,7.55913978882495,54.6155505399777,35.4538210997839,29.91,0.0,MIDLANDS
C81038,87.9946679328222,30.671153737455796,89.1308817,34.8232255,83.44537180934451,40.6252504701819,-5.685509890655496,5.802024970181904,119.0,136.0,2.19980369517177,74.1362760062787,51.1278011624139,10.83,0.0,MIDLANDS
C81072,54.5000550024586,23.836284681390698,58.21103480000001,30.6779239,73.5197355165523,60.601902817215404,15.308700716552295,29.923978917215404,132.0,89.0,7.124694576713179,57.0080740190212,41.5758593708886,39.35,0.0,MIDLANDS
C81073,73.3025513127805,31.413973666829996,76.36473550000001,23.368551,74.11911213305869,30.512503123034403,-2.2456233669413166,7.143952123034403,116.0,99.0,16.1143135581994,63.0731375787375,46.627228871175404,33.23,0.0,MIDLANDS
C81080,87.29041700843129,41.4487324563191,78.8356634,41.8223904,88.7086037879335,36.7747192197573,9.872940387933497,-5.047671180242702,114.0,119.0,1.17717137515991,89.29965854270701,33.110995592929896,12.95,1.0,MIDLANDS
C81081,87.3584877677536,40.118094176567,87.4947908,39.6995113,84.1043201964939,41.059351545762304,-3.3904706035061025,1.3598402457623067,113.0,120.0,5.59750500189011,75.66289637188581,49.317882703361796,17.59,0.0,MIDLANDS
