gp_code,year,list_size
C81057,2013,8216
C81058,2013,7387
C81059,2013,5328
C81060,2013,9016
C81061,2013,15235
C81062,2013,8589
C81063,2013,8536
C81064,2013,11050
C81065,2013,7599
C81066,2013,10600
C81067,2013,8851
C81068,2013,12221
C81069,2013,13500
C81070,2013,4833
C81071,2013,15863
C81072,2013,21196
C81073,2013,10790
C81074,2013,8669
C81075,2013,5870
C81076,2013,3348
C81077,2013,3524
C81079,2013,3187
C81080,2013,8155
C81081,2013,12942
C81082,2013,3119
C81083,2013,9403
C81084,2013,9912
C81086,2013,8029
C81087,2013,11062
C81089,2013,4740
C81090,2013,3691
C81091,2013,9151
C81092,2013,6046
C81094,2013,7202
C81095,2013,4584
C81096,2013,5516
C81097,2013,7179
C81099,2013,8162
C81100,2013,6772
C81101,2013,7982
C81104,2013,1669
C81106,2013,6508
C81108,2013,14471
C81110,2013,10203
C81113,2013,5373
C81114,2013,9592
C81115,2013,5151
C81116,2013,3522
C81118,2013,5754
C81604,2013,3633
C81611,2013,2104
C81615,2013,2125
C81616,2013,4248
C81617,2013,3478
C81627,2013,4001
C81629,2013,3774
C81633,2013,1720
C81634,2013,3536
C81638,2013,2796
C81640,2013,3566
C81642,2013,3831
C81647,2013,4471
C81648,2013,3710
C81649,2013,6433
C81652,2013,3678
C81653,2013,3766
C81654,2013,3767
C81655,2013,3928
C81658,2013,3987
C81660,2013,2957
C81661,2013,2508
C81662,2013,5899
C81665,2013,9815
C82001,2013,8830
C82002,2013,9799
C82003,2013,10657
C82005,2013,8931
C82007,2013,8998
C82008,2013,8837
C82009,2013,23795
C82010,2013,16040
C82011,2013,10916
C82012,2013,9877
C82013,2013,9703
C82014,2013,14266
C82015,2013,2557
C82016,2013,6191
C82017,2013,12886
C82018,2013,15291
C82019,2013,4716
C82020,2013,16828
C82021,2013,8574
C82022,2013,6868
C82023,2013,3777
C82024,2013,17906
C82025,2013,10543
C82026,2013,8361
C82027,2013,6651
C82028,2013,6834
C82029,2013,9507
C82030,2013,6847
C82031,2013,10838
C82032,2013,6849
C82033,2013,9142
C82034,2013,8424
C82035,2013,7878
C82036,2013,13881
C82037,2013,10398
C82038,2013,35598
C82039,2013,11113
C82040,2013,8167
C82041,2013,10984
C82042,2013,11457
C82043,2013,12977
C82044,2013,5992
C82045,2013,5585
C82046,2013,12667
C82047,2013,10791
C82048,2013,3676
C82050,2013,9940
C82051,2013,10473
C82052,2013,3938
C82053,2013,10330
C82054,2013,9886
C82055,2013,14360
C82056,2013,13442
C82058,2013,5473
C82059,2013,1420
C82060,2013,3457
C82061,2013,10463
C82062,2013,8756
C82063,2013,13126
C82064,2013,11565
C82065,2013,2774
C82066,2013,13966
C82067,2013,8458
C82068,2013,11215
C82070,2013,9033
C82071,2013,8304
C82072,2013,8264
C82073,2013,14076
C82075,2013,9358
C82076,2013,4810
C82077,2013,10383
C82078,2013,11119
C82079,2013,9079
C82080,2013,3986
C82081,2013,2483
C82082,2013,5884
C82084,2013,3334
C82085,2013,510
C82086,2013,7750
C82088,2013,10295
C82091,2013,7235
C82092,2013,2549
C82093,2013,11138
C82094,2013,6822
C82095,2013,8993
C82096,2013,6645
C82097,2013,1399
C82098,2013,7239
C82099,2013,3687
C82100,2013,5169
C82102,2013,4253
C82103,2013,6583
C82105,2013,2766
C82106,2013,1973
C82107,2013,4846
C82108,2013,3027
C82109,2013,3723
C82111,2013,15141
C82112,2013,4370
C82114,2013,1734
C82116,2013,3556
C82119,2013,2407
C82120,2013,3365
C82121,2013,14004
C82122,2013,4827
C82123,2013,3151
C82124,2013,17642
C82600,2013,5349
C82610,2013,3995
C82611,2013,5414
C82614,2013,3851
C82620,2013,1745
C82623,2013,3228
C82624,2013,6884
C82625,2013,2649
C82626,2013,2063
C82627,2013,4500
C82628,2013,3137
C82631,2013,5498
C82634,2013,2955
C82639,2013,5728
C82641,2013,2020
C82642,2013,7881
C82643,2013,9779
C82644,2013,2905
C82649,2013,3090
C82650,2013,3697
C82651,2013,3474
C82653,2013,1564
C82655,2013,2007
C82656,2013,2133
C82657,2013,1456
C82659,2013,2793
C82660,2013,6050
C82662,2013,3605
C82663,2013,2708
C82667,2013,6587
C82669,2013,3178
C82670,2013,996
C82671,2013,3656
C82676,2013,4620
C82678,2013,6322
C82680,2013,2681
C83001,2013,9129
C83002,2013,7867
C83003,2013,14800
C83004,2013,11768
C83005,2013,7630
C83006,2013,3791
C83007,2013,13593
C83008,2013,6198
C83009,2013,8033
C83010,2013,12982
C83011,2013,8856
C83013,2013,7971
C83014,2013,9200
C83015,2013,8650
C83016,2013,2390
C83017,2013,13313
C83018,2013,9741
C83019,2013,23116
C83020,2013,8398
C83021,2013,2254
C83022,2013,19624
C83023,2013,18234
C83024,2013,3991
C83025,2013,8717
C83026,2013,22724
C83027,2013,8949
