month,level,org_code,org_name,region_code,region_name,metric,value
2026-04,England,ENG,England,,,unique_user_logins,14870245.0
2020-12,England,ENG,England,,,unique_user_logins_12m,1828905.0
2021-01,England,ENG,England,,,unique_user_logins_12m,2089992.0
2021-02,England,ENG,England,,,unique_user_logins_12m,2352001.0
2021-03,England,ENG,England,,,unique_user_logins_12m,2705245.0
2021-04,England,ENG,England,,,unique_user_logins_12m,3241341.0
2021-05,England,ENG,England,,,unique_user_logins_12m,5727777.0
2021-06,England,ENG,England,,,unique_user_logins_12m,8312919.0
2021-07,England,ENG,England,,,unique_user_logins_12m,11992362.0
2021-08,England,ENG,England,,,unique_user_logins_12m,14831295.0
2021-09,England,ENG,England,,,unique_user_logins_12m,17040553.0
2021-10,England,ENG,England,,,unique_user_logins_12m,18788312.0
2021-11,England,ENG,England,,,unique_user_logins_12m,20534928.0
2021-12,England,ENG,England,,,unique_user_logins_12m,23742020.0
2022-01,England,ENG,England,,,unique_user_logins_12m,25128884.0
2022-02,England,ENG,England,,,unique_user_logins_12m,25951009.0
2022-03,England,ENG,England,,,unique_user_logins_12m,26690012.0
2022-04,England,ENG,England,,,unique_user_logins_12m,27435114.0
2022-05,England,ENG,England,,,unique_user_logins_12m,28088567.0
2022-06,England,ENG,England,,,unique_user_logins_12m,28510887.0
2022-07,England,ENG,England,,,unique_user_logins_12m,28817679.0
2022-08,England,ENG,England,,,unique_user_logins_12m,28933856.0
2022-09,England,ENG,England,,,unique_user_logins_12m,28918420.0
2022-10,England,ENG,England,,,unique_user_logins_12m,28890979.0
2022-11,England,ENG,England,,,unique_user_logins_12m,28628056.0
2022-12,England,ENG,England,,,unique_user_logins_12m,27293386.0
2023-01,England,ENG,England,,,unique_user_logins_12m,26187505.0
2023-02,England,ENG,England,,,unique_user_logins_12m,25494437.0
2023-03,England,ENG,England,,,unique_user_logins_12m,24844257.0
2023-04,England,ENG,England,,,unique_user_logins_12m,24135933.0
2023-05,England,ENG,England,,,unique_user_logins_12m,23126076.0
2023-06,England,ENG,England,,,unique_user_logins_12m,22103761.0
2023-07,England,ENG,England,,,unique_user_logins_12m,20895817.0
2023-08,England,ENG,England,,,unique_user_logins_12m,20042297.0
2023-09,England,ENG,England,,,unique_user_logins_12m,19448499.0
2023-10,England,ENG,England,,,unique_user_logins_12m,18899050.0
2023-11,England,ENG,England,,,unique_user_logins_12m,18681873.0
2023-12,England,ENG,England,,,unique_user_logins_12m,18505395.0
2024-01,England,ENG,England,,,unique_user_logins_12m,18523713.0
2024-02,England,ENG,England,,,unique_user_logins_12m,18684698.0
2024-03,England,ENG,England,,,unique_user_logins_12m,18790644.0
2024-04,England,ENG,England,,,unique_user_logins_12m,18951086.0
2024-05,England,ENG,England,,,unique_user_logins_12m,19163184.0
2024-06,England,ENG,England,,,unique_user_logins_12m,19396762.0
2024-07,England,ENG,England,,,unique_user_logins_12m,19705850.0
2024-08,England,ENG,England,,,unique_user_logins_12m,19986373.0
2024-09,England,ENG,England,,,unique_user_logins_12m,20281889.0
2024-10,England,ENG,England,,,unique_user_logins_12m,20642686.0
2024-11,England,ENG,England,,,unique_user_logins_12m,20993787.0
2024-12,England,ENG,England,,,unique_user_logins_12m,21277567.0
2025-01,England,ENG,England,,,unique_user_logins_12m,21702591.0
2025-02,England,ENG,England,,,unique_user_logins_12m,22023319.0
2025-03,England,ENG,England,,,unique_user_logins_12m,22384705.0
2025-04,England,ENG,England,,,unique_user_logins_12m,22669752.0
2025-05,England,ENG,England,,,unique_user_logins_12m,22961287.0
2025-06,England,ENG,England,,,unique_user_logins_12m,23358307.0
2025-07,England,ENG,England,,,unique_user_logins_12m,23729312.0
2025-08,England,ENG,England,,,unique_user_logins_12m,24119538.0
2025-09,England,ENG,England,,,unique_user_logins_12m,24574077.0
2025-10,England,ENG,England,,,unique_user_logins_12m,25035921.0
2025-11,England,ENG,England,,,unique_user_logins_12m,25405757.0
2025-12,England,ENG,England,,,unique_user_logins_12m,25737222.0
2026-01,England,ENG,England,,,unique_user_logins_12m,26119241.0
2026-02,England,ENG,England,,,unique_user_logins_12m,26485734.0
2026-03,England,ENG,England,,,unique_user_logins_12m,26939501.0
2026-04,England,ENG,England,,,unique_user_logins_12m,27374918.0
2020-12,England,ENG,England,,,unique_users_ordering_prescriptions,211536.0
2021-01,England,ENG,England,,,unique_users_ordering_prescriptions,274740.0
2021-02,England,ENG,England,,,unique_users_ordering_prescriptions,273469.0
2021-03,England,ENG,England,,,unique_users_ordering_prescriptions,320762.0
2021-04,England,ENG,England,,,unique_users_ordering_prescriptions,335665.0
2021-05,England,ENG,England,,,unique_users_ordering_prescriptions,463475.0
2021-06,England,ENG,England,,,unique_users_ordering_prescriptions,613303.0
2021-07,England,ENG,England,,,unique_users_ordering_prescriptions,781127.0
2021-08,England,ENG,England,,,unique_users_ordering_prescriptions,857165.0
2021-09,England,ENG,England,,,unique_users_ordering_prescriptions,951779.0
2021-10,England,ENG,England,,,unique_users_ordering_prescriptions,1007909.0
2021-11,England,ENG,England,,,unique_users_ordering_prescriptions,1130490.0
2021-12,England,ENG,England,,,unique_users_ordering_prescriptions,1276649.0
2022-01,England,ENG,England,,,unique_users_ordering_prescriptions,1380067.0
2022-02,England,ENG,England,,,unique_users_ordering_prescriptions,1320777.0
