month,gp_code,gp_name,inb_total,ans_total,pct_u2_total,inb_core,ans_core,pct_u2_core,inb_810,ans_810,pct_u2_810
2026-06-01,G83049,LYNDHURST ROAD MEDICAL CENTRE,10239.0,6409.0,0.703,9892.0,6399.0,0.703,2003.0,1387.0,0.771
2026-06-01,G83029,PLAS MEDDYG SURGERY,4314.0,3081.0,0.657,4124.0,3075.0,0.657,863.0,625.0,0.632
2026-06-01,G83006,THE ALBION SURGERY,5758.0,2674.0,0.575,5471.0,2674.0,0.575,1339.0,680.0,0.532
2026-06-01,G85024,SYDENHAM GREEN GROUP PRACTICE,4961.0,3471.0,0.59,4747.0,3449.0,0.589,1048.0,798.0,0.56
2026-06-01,G85696,VALE MEDICAL CENTRE,4734.0,3469.0,0.784,4547.0,3466.0,0.783,953.0,753.0,0.795
2026-06-01,G85114,WELLS PARK PRACTICE,4965.0,1916.0,0.873,4708.0,1902.0,0.873,1221.0,500.0,0.86
2026-06-01,G85061,WOOLSTONE MEDICAL CENTRE,2874.0,2224.0,0.938,2751.0,2219.0,0.938,682.0,569.0,0.912
2026-06-01,Unassigned,Unmapped,16809.0,5398.0,0.339,15723.0,5275.0,0.338,4568.0,1595.0,0.394
2026-06-01,G84018,CORNERWAYS SURGERY,2939.0,1667.0,0.443,2851.0,1667.0,0.443,495.0,339.0,0.507
2026-06-01,G84011,EDEN PARK SURGERY,3191.0,1753.0,0.523,3117.0,1752.0,0.523,615.0,357.0,0.504
2026-06-01,G84027,ELM HOUSE SURGERY,10762.0,6734.0,0.765,10289.0,6728.0,0.765,2182.0,1193.0,0.765
2026-06-01,G84008,MANOR ROAD SURGERY,3256.0,2214.0,0.677,2994.0,2187.0,0.679,828.0,552.0,0.598
2026-06-01,G84028,ST JAMES' PRACTICE,2607.0,1663.0,0.541,2458.0,1660.0,0.541,530.0,366.0,0.5
2026-06-01,G83013,BLACKHEATH STANDARD PMS,3268.0,1457.0,0.517,3161.0,1450.0,0.515,618.0,375.0,0.645
2026-06-01,G83044,FAIRFIELD PMS,3829.0,2428.0,0.516,3644.0,2407.0,0.513,874.0,613.0,0.622
2026-06-01,G83001,MANOR BROOK PMS,4881.0,2946.0,0.816,4635.0,2929.0,0.815,1175.0,706.0,0.858
2026-06-01,G83021,VANBRUGH GROUP PRACTICE,8373.0,4506.0,0.561,7687.0,4506.0,0.561,2406.0,1211.0,0.501
2026-06-01,G85109,CLAPHAM PARK GROUP PRACTICE,6301.0,3227.0,0.637,6114.0,3215.0,0.636,1324.0,790.0,0.627
2026-06-01,G84002,DYSART SURGERY,4970.0,3392.0,0.498,4758.0,3371.0,0.496,1009.0,714.0,0.594
2026-06-01,G84016,LONDON LANE CLINIC,4928.0,3412.0,0.692,4761.0,3412.0,0.692,886.0,589.0,0.621
2026-06-01,G84001,SOUTH VIEW PARTNERSHIP,4651.0,2960.0,0.72,4505.0,2957.0,0.72,918.0,637.0,0.769
2026-06-01,G85011,CLAPHAM FAMILY PRACTICE,4931.0,2529.0,0.656,4636.0,2497.0,0.654,1128.0,639.0,0.645
2026-06-01,G85708,DR CURRAN & PARTNERS,3531.0,2163.0,0.761,3334.0,2141.0,0.762,773.0,507.0,0.832
2026-06-01,G85674,GRAFTON SQUARE SURGERY,3593.0,2395.0,0.737,3356.0,2318.0,0.738,884.0,528.0,0.549
2026-06-01,G85083,SANDMERE PRACTICE,6430.0,2165.0,0.204,5888.0,2101.0,0.197,1757.0,918.0,0.242
2026-06-01,G83009,BELLEGROVE SURGERY,4627.0,2456.0,0.918,4352.0,2456.0,0.918,1019.0,675.0,0.881
2026-06-01,G83028,BEXLEY GROUP PRACTICE,2136.0,1338.0,0.554,1878.0,1338.0,0.554,415.0,319.0,0.583
2026-06-01,G83033,DR DAVIES & PARTNER,3676.0,2228.0,0.671,3116.0,2228.0,0.671,911.0,639.0,0.531
2026-06-01,G83002,THE WESTWOOD SURGERY,3959.0,2613.0,0.618,3805.0,2605.0,0.618,993.0,695.0,0.646
2026-06-01,G83025,WELLING MEDICAL PRACTICE,5937.0,3525.0,0.728,5566.0,3525.0,0.728,1409.0,867.0,0.632
2026-06-01,G85137,BROCKWELL PARK SURGERY,3304.0,2733.0,0.87,3183.0,2733.0,0.87,873.0,781.0,0.816
2026-06-01,G85039,PAXTON GREEN GROUP PRACTICE,8070.0,6185.0,0.527,8060.0,6180.0,0.528,4099.0,3093.0,0.274
