period,GP_CODE,all_fast,all_known,all_total,gp_fast,gp_known,gp_total
janfeb,Y00228,1549,2477,2477,1274,1653,1653
janfeb,Y00252,3425,4066,4066,1990,2060,2060
janfeb,Y00265,6819,12314,12314,2999,5320,5320
janfeb,Y00278,1293,3432,3432,871,1900,1900
janfeb,Y00286,1539,3476,3476,646,1114,1114
janfeb,Y00293,2945,6683,6683,1767,2547,2547
janfeb,Y00297,2484,5935,5935,1508,2962,2962
janfeb,Y00312,1216,1973,1973,817,1137,1137
janfeb,Y00316,4871,6381,6381,3966,4904,4904
janfeb,Y00344,962,1722,1722,395,504,504
janfeb,Y00347,1519,3952,3952,1065,2016,2016
janfeb,Y00351,5599,10589,10589,3866,6115,6115
janfeb,Y00352,11466,20635,20635,6325,9251,9251
janfeb,Y00399,3486,5265,5265,1469,1791,1791
janfeb,Y00403,4963,6345,6345,2941,3368,3368
janfeb,Y00411,4677,9770,9770,2294,3526,3526
janfeb,Y00412,3228,4220,4220,2176,2374,2374
janfeb,Y00437,4741,8319,8319,3297,4522,4522
janfeb,Y00445,7906,13844,13844,4349,6903,6903
janfeb,Y00446,1037,2280,2280,641,1320,1320
janfeb,Y00469,4089,9142,9142,2204,3571,3571
janfeb,Y00471,11741,13982,13982,1623,2339,2339
janfeb,Y00475,3567,6564,6564,2156,3809,3809
janfeb,Y00486,2471,4684,4684,1631,2538,2538
janfeb,Y00492,3249,5299,5299,2249,3120,3120
janfeb,Y00507,4057,5848,5848,2735,3507,3507
janfeb,Y00560,16520,23307,23307,3977,5292,5292
janfeb,Y00568,3406,4578,4578,2235,2614,2614
janfeb,Y00612,2637,3116,3116,2246,2440,2440
janfeb,Y00726,1928,3938,3938,1672,2744,2744
janfeb,Y00758,1430,2378,2378,910,1301,1301
janfeb,Y00774,2046,4008,4008,196,304,304
janfeb,Y00902,2099,3264,3264,634,1186,1186
janfeb,Y00918,5503,8338,8338,4710,6264,6264
janfeb,Y00969,9644,16144,16144,2776,4915,4915
janfeb,Y00996,1080,2417,2417,858,1356,1356
janfeb,Y00999,7966,11966,11966,2146,3097,3097
janfeb,Y01008,19856,43102,43102,10525,18324,18324
janfeb,Y01011,7479,10837,10837,4103,5213,5213
janfeb,Y01050,5979,9349,9349,1055,1969,1969
janfeb,Y01051,3568,8761,8761,1963,3703,3703
janfeb,Y01057,1184,1831,1831,409,755,755
janfeb,Y01066,3325,4717,4717,2395,2865,2865
janfeb,Y01068,3663,4451,4451,2868,2917,2917
janfeb,Y01090,2887,6394,6394,2124,2497,2497
janfeb,Y01108,1919,3333,3333,940,1370,1370
janfeb,Y01118,2278,3957,3957,934,1113,1113
janfeb,Y01127,6870,11012,11012,4215,5374,5374
janfeb,Y01132,3019,7574,7574,2330,5486,5486
janfeb,Y01163,1567,2861,2861,1193,1327,1327
janfeb,Y01206,2151,4815,4815,1884,3155,3155
janfeb,Y01221,1615,3103,3103,790,1386,1386
janfeb,Y01280,1647,2072,2072,1638,2020,2020
janfeb,Y01281,2396,4731,4731,2131,2858,2858
janfeb,Y01291,4154,7604,7604,3385,4898,4898
janfeb,Y01652,2264,5712,5712,895,1986,1986
janfeb,Y01655,4499,5670,5670,4112,4512,4512
janfeb,Y01695,1126,2655,2655,693,1248,1248
janfeb,Y01719,3856,7303,7303,1439,2468,2468
janfeb,Y01756,2343,5098,5098,1651,2822,2822
janfeb,Y01794,14132,21872,21872,4378,7072,7072
janfeb,Y01795,6221,9957,9957,3913,5507,5507
janfeb,Y01812,6186,11570,11570,1136,2163,2163
janfeb,Y01839,4833,6631,6631,2585,3488,3488
janfeb,Y01922,7618,14061,14061,4138,6692,6692
janfeb,Y01929,28168,40280,40280,11399,14153,14153
janfeb,Y01948,2255,3499,3499,708,849,849
janfeb,Y01964,22594,33893,33893,14613,17534,17534
janfeb,Y02002,3919,7636,7636,2675,3550,3550
janfeb,Y02045,252,1235,1235,3,37,37
janfeb,Y02117,6864,10724,10724,4421,6393,6393
