section,measure,group,value,unit,weighted_base_n,ci95_low,ci95_high,period,source,note
need_burden,Weighted respondents with condition limiting day-to-day activities 'a lot' (Q41),most_deprived,25090,weighted respondents,,,,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
need_burden,Weighted respondents with condition limiting day-to-day activities 'a lot' (Q41),least_deprived,10009,weighted respondents,,,,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
need_burden,GPPS 2026 total responses,all,651257,responses,,,,GPPS 2026,GPPS 2026 (Ipsos/NHS England),re-confirm against 2026 technical annex before publication
cascade_limited_a_lot,Contacted practice in last 3 months (Q8),most_deprived,81.0,%,25090,80.5,81.5,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
cascade_limited_a_lot,Contacted practice within 6 months (Q8),most_deprived,91.7,%,25090,91.3,92.0,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
cascade_limited_a_lot,Contacted practice in last 3 months (Q8),least_deprived,82.9,%,10009,82.1,83.6,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
cascade_limited_a_lot,Contacted practice within 6 months (Q8),least_deprived,92.7,%,10009,92.2,93.2,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
cascade_limited_a_lot,"Told to contact practice again another day (Q12), contacts in last 3 months",most_deprived,12.0,%,19315,11.5,12.4,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
cascade_limited_a_lot,"Told to contact practice again another day (Q12), contacts in last 3 months",least_deprived,6.8,%,7963,6.3,7.4,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
cascade_limited_a_lot,"Told to contact practice again another day (Q12), contacts in last 3 months",gap (most - least),5.2,percentage points,,4.5,5.9,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
cascade_limited_a_lot,"Sent to pharmacy / NHS 111 / urgent care (Q14), contacts in last 3 months",most_deprived,13.0,%,14855,12.5,13.6,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
cascade_limited_a_lot,"Sent to pharmacy / NHS 111 / urgent care (Q14), contacts in last 3 months",least_deprived,7.0,%,6583,6.4,7.6,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
cascade_limited_a_lot,"Sent to pharmacy / NHS 111 / urgent care (Q14), contacts in last 3 months",gap (most - least),6.0,percentage points,,5.2,6.8,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
cascade_limited_a_lot,"Needs not met at all (Q31), last appointment in last 3 months, excl. don't know",most_deprived,15.1,%,17062,14.5,15.6,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
cascade_limited_a_lot,"Needs not met at all (Q31), last appointment in last 3 months, excl. don't know",least_deprived,13.6,%,6899,12.8,14.4,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
cascade_limited_a_lot,"Needs not met at all (Q31), last appointment in last 3 months, excl. don't know",gap (most - least),1.5,percentage points,,0.5,2.5,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
comeback_by_limitation,Told to come back another day (Q12) by limitation (Q41),"most_deprived / limited: Yes, a lot",12.0,%,19315,11.5,12.4,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
diversion_by_limitation,Sent elsewhere (Q14) by limitation (Q41),"most_deprived / limited: Yes, a lot",13.0,%,14855,12.5,13.6,GPPS 2026,GPPS 2026 analysis-tool crosstab exports (data/GPPS_National_Crosstab_*.xlsx),
